code,url,created_datetime,last_modified_datetime,product_name,brands,origins_en,manufacturing_places,labels_en,first_packaging_code_geo,cities_tags,purchase_places,stores,countries_en,ingredients_text,allergens,traces_en,additives_en,ingredients_from_palm_oil_n,nutriscore_grade,nova_group,pnns_groups_2,states,ecoscore_grade_fr,main_category_en,image_small_url,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,nutrition-score-fr_100g,energy_kcal_100g
6111018101130,http://world-en.openfoodfacts.org/product/6111018101130/harira-halal-potage-deshydrate-aux-vermicelles-et-tomates-maggi,2017-10-02T16:40:54Z,2021-02-22T23:03:55Z,Harira Halal - Potage déshydraté aux vermicelles et tomates,Maggi,,,Halal,,,,,France,"farine de _blé_, vermicelles (18,2 %), amidon de maïs, tomate (11,8 %), sel de table, huile végétale hydrogénée, sucre, exhausteur de goût (glutamate de sodium, inosinate et guanylate de sodium), plantes aromatiques (_céleri_, persil, coriandre), épices (curcuma, paprika, poivre, piment), colorant (caramel).","en:celery,en:gluten",Eggs,"E150 - Caramel,E621 - Monosodium glutamate",0.0,,4.0,One-dish meals,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",,Dehydrated soups,https://images.openfoodfacts.org/images/products/611/101/810/1130/front_fr.4.200.jpg,6.0,2.6,56.50000000000001,26.0,6.9,16.7,5.3,2.12,11.8,11.999999999999996,359.9713193116635
5057967464050,http://world-en.openfoodfacts.org/product/5057967464050/smoked-salmon-tuna-sushi-tesco,2020-11-13T20:00:03Z,2021-08-24T08:43:15Z,Smoked Salmon & Tuna Sushi,Tesco,,,,,,,Tesco,United Kingdom,,,,,,,,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded",,,,3.2400000000000007,0.441,26.6,1.6200000000000003,0.735,5.88,1.03,0.4119999999999999,1.7500000000000002,3.000000000000001,160.1864244741874
